CASENUM,SURVIVED,REGION,PSU,PJ,PSU_VAR,URBANICITY,STRATUM,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERMVIT,PERNOTMVIT,NUM_INJ,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,HARM_EV,ALCOHOL,MAX_SEV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,INT_HWY,CF1,CF2,CF3,WKDY_IM,HOUR_IM,MINUTE_IM,EVENT1_IM,MANCOL_IM,RELJCT1_IM,RELJCT2_IM,LGTCON_IM,WEATHR_IM,MAXSEV_IM,NO_INJ_IM,ALCHL_IM,PSUSTRAT,WEIGHT
2.02E+11,1.00E+00,3,70,138,70,2,4,2,2,0,0,2,0,2,1,2018,2,6,30,12,2,3,2,0,2,3,0,1,4,2,0,2,0,0,0,0,0,2,6,30,12,2,0,2,4,2,3,2,2,16,26.9051544
2.02E+11,0.00E+00,3,70,138,70,2,10,2,2,0,0,2,0,0,1,2018,2,13,42,12,9,0,1,0,3,98,0,1,1,2,0,2,0,0,0,0,0,2,13,42,12,1,0,3,1,2,0,0,2,16,235.1971059
2.02E+11,0.00E+00,3,70,46,70,2,10,1,1,0,0,1,0,0,1,2018,2,11,45,11,2,0,0,0,1,1,0,1,1,98,0,98,0,0,0,0,0,2,11,45,11,0,0,1,1,1,0,0,2,16,235.1971059
2.02E+11,1.00E+00,3,70,46,70,2,9,2,2,0,0,2,0,0,1,2018,2,17,15,12,2,0,7,0,1,1,0,1,3,2,0,2,0,0,0,0,0,2,17,15,12,7,0,1,3,2,0,0,2,16,168.6017505
2.02E+11,1.00E+00,3,70,138,70,2,9,1,1,0,0,1,0,0,1,2018,2,16,0,25,2,0,0,0,1,1,0,4,1,2,0,2,0,1,0,0,0,2,16,0,25,0,0,1,1,2,0,0,2,16,168.6017505
2.02E+11,1.00E+00,3,70,46,70,2,6,2,2,0,0,2,0,1,1,2018,2,21,55,12,2,2,6,0,1,1,1,1,2,2,0,2,0,1,0,0,0,2,21,55,12,6,0,1,2,2,2,1,2,16,67.78164858
2.02E+11,1.00E+00,3,70,138,70,2,9,3,3,0,0,3,0,0,1,2018,3,12,29,12,2,0,1,0,3,2,0,1,1,1,0,1,0,0,0,0,0,3,12,29,12,1,0,3,1,1,0,0,2,16,168.6017505
2.02E+11,1.00E+00,3,70,46,70,2,7,2,2,0,0,2,0,0,1,2018,3,14,5,12,2,0,7,0,1,1,1,1,1,10,0,10,0,1,0,0,0,3,14,5,12,7,0,1,1,10,0,0,2,16,132.1532895
2.02E+11,1.00E+00,3,70,138,70,2,6,2,2,0,0,3,0,1,1,2018,3,17,0,12,2,1,1,8,3,2,0,1,1,1,0,1,0,0,0,0,0,3,17,0,12,1,0,3,1,1,1,1,2,16,67.78164858
2.02E+11,1.00E+00,3,70,138,70,2,10,2,2,0,0,2,0,0,1,2018,3,15,35,12,2,0,1,8,3,98,0,1,1,10,0,10,0,0,0,0,0,3,15,35,12,1,0,3,1,10,0,0,2,16,235.1971059
